Masked Account ID,Maked Primary Campaign,Stage,Account Type,Billing Zip/Postal Code,Fiscal Period,Close Date,Amount
0001,None,Closed Won,Household,90069,Q3-2022,7/5/2022,200000
0001,None,Closed Won,Household,90069,Q3-2023,7/14/2023,200000
0001,None,Closed Won,Household,90069,Q3-2019,7/17/2019,5000028.69
0001,None,Closed Won,Household,90069,Q1-2019,3/12/2019,320000
0001,None,Closed Won,Household,90069,Q2-2020,4/27/2020,220000
0001,None,Closed Won,Household,90069,Q3-2018,7/5/2018,200000
0001,None,Closed Won,Household,90069,Q2-2019,6/19/2019,200000
0001,None,Closed Won,Household,90069,Q2-2020,6/4/2020,200000
0001,None,Closed Won,Household,90069,Q1-2018,3/30/2018,100000
0001,None,Closed Won,Household,90069,Q2-2018,5/8/2018,50000
0001,None,Closed Won,Household,90069,Q4-2019,10/7/2019,40000
0001,None,Closed Won,Household,90069,Q1-2018,2/16/2018,25000
0001,None,Commitment,Household,90069,Q2-2021,6/18/2021,200000
0001,None,Closed Won,Household,90069,Q2-2021,6/18/2021,200000
0001,None,Closed Won,Household,90069,Q2-2021,6/18/2021,200000
0002,None,Closed Won,Household,90272,Q1-2017,1/20/2017,25000
0002,None,Closed Won,Household,90272,Q1-2018,1/18/2018,25000
0002,None,Closed Won,Household,90272,Q2-2019,6/20/2019,25000
0003,None,Closed Won,Household,90024,Q1-2017,3/9/2017,5000
0004,None,Closed Won,Household,90049,Q1-2016,3/7/2016,200
0004,None,Closed Won,Household,90049,Q2-2017,4/27/2017,100
0004,None,Closed Won,Household,90049,Q2-2015,5/20/2015,5000
0004,None,Closed Won,Household,90049,Q2-2022,4/14/2022,80
0004,None,Closed Won,Household,90049,Q1-2023,1/18/2023,500
0004,None,Closed Won,Household,90049,Q3-2019,8/12/2019,3000
0004,None,Closed Won,Household,90049,Q4-2018,12/20/2018,500
0004,None,Closed Won,Household,90049,Q1-2021,3/3/2021,5000
0005,None,Closed Won,Household,,Q1-2021,3/10/2021,5000
0006,None,Closed Won,Household,30087,Q2-2023,5/31/2023,5000
0006,None,Closed Won,Household,30087,Q4-2019,12/31/2019,2500
0006,None,Closed Won,Household,30087,Q2-2021,4/22/2021,5000
0008,None,Closed Won,Corporate,,Q4-2021,10/19/2021,10000
0008,None,In-Kind Received,Corporate,,Q4-2021,10/20/2021,10000
0008,None,Closed Won,Corporate,,Q4-2022,10/31/2022,20000
0009,None,Awarded,Corporate,90010,Q1-2023,1/5/2023,5000
0009,None,Closed Won,Corporate,90010,Q4-2020,12/31/2020,5000
0009,None,Closed Won,Corporate,90010,Q4-2021,10/21/2021,5000
0009,None,Closed Won,Corporate,90010,Q1-2021,1/5/2021,5000
0010,None,Awarded,Corporate,90744,Q2-2022,4/11/2022,2500
0010,None,Closed Won,Corporate,90744,Q2-2021,4/27/2021,5000
0011,None,Closed Won,Household,91006,Q4-2017,12/11/2017,100
0011,None,Closed Won,Household,91006,Q4-2018,12/5/2018,200
0011,None,Closed Won,Household,91006,Q2-2022,4/15/2022,77.6
0011,None,Closed Won,Household,91006,Q4-2017,12/11/2017,1000
0012,None,Closed Won,Household,,Q2-2017,4/27/2017,100
0012,None,Closed Won,Household,,Q3-2021,7/13/2021,5000
0012,None,Closed Won,Household,,Q3-2017,9/7/2017,25
0012,None,Closed Won,Household,,Q2-2020,5/21/2020,5000
0012,None,Closed Won,Household,,Q1-2021,2/5/2021,250
0012,None,Closed Won,Household,,Q4-2019,12/30/2019,1500
0013,None,Closed Won,Household,90049,Q2-2016,4/7/2016,200
0013,None,Closed Won,Household,90049,Q1-2018,2/22/2018,500
0014,None,Closed Won,Household,90064,Q2-2017,4/27/2017,100
0014,None,Closed Won,Household,90064,Q4-2018,12/5/2018,100
0014,None,Closed Won,Household,90064,Q3-2019,9/20/2019,50
0014,None,Closed Won,Household,90064,Q1-2021,2/5/2021,250
0014,None,Closed Won,Household,90064,Q2-2022,4/15/2022,97
0014,None,Closed Won,Household,90064,Q4-2017,12/27/2017,1000
0015,None,Closed Won,Household,90049,Q1-2023,2/13/2023,200
0017,None,Closed Won,Corporate,91106,Q4-2020,12/15/2020,2222.22
0018,None,Closed Won,Corporate,90067,Q3-2018,7/24/2018,5000
0018,None,Closed Won,Corporate,90067,Q3-2016,8/17/2016,2800
0018,None,Closed Won,Corporate,90067,Q4-2016,10/3/2016,2200
0020,None,Closed Won,Corporate,90064,Q3-2020,7/29/2020,10000
0022,None,Closed Won,Corporate,98004,Q2-2021,6/22/2021,3499.65
